Time,Time Code,Country Name,Country Code,Access to electricity (% of population) [EG.ELC.ACCS.ZS],Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS]
2012,YR2012,Germany,DEU,100,0.0548288593405806,0.00074976914783629,0.0416156923735439
2012,YR2012,India,IND,79.9,1.48448439843746,0.765651522424161,0.150297037032533
2012,YR2012,United States,USA,100,0.365037619003386,0.163414793078767,0
2012,YR2012,United Arab Emirates,ARE,100,0,0,1.14944917707313
2012,YR2012,United Kingdom,GBR,100,0.0153165184872093,0.000117447789677093,0.188795515518294
2013,YR2013,Afghanistan,AFG,68.0408782958984,0.237665574938235,0.00231624131877265,0.0341687943179892
2013,YR2013,Australia,AUS,100,0.812671152247083,3.55343966026024,0.331288181046131
2013,YR2013,Canada,CAN,100,0.111210926632906,0.280229667910082,0
2013,YR2013,China,CHN,99.9929504394531,1.08227721470867,0.604283761994796,0.0941454766793496
2013,YR2013,France,FRA,100,0,0.000168557450175002,0.0015493248242741
2013,YR2013,Germany,DEU,100,0.0237162586929113,0.000688312398977174,0.0357489487062639
2013,YR2013,India,IND,83.1313934326172,1.21260035181289,0.89395152707577,0.0935065065834165
2013,YR2013,United States,USA,100,0.279719144616926,0.120356943952869,0
2013,YR2013,United Arab Emirates,ARE,100,0,0,1.13311451584915
2013,YR2013,United Kingdom,GBR,100,0.00648468176894561,3.17743429162238E-05,0.168648172977962
2014,YR2014,Afghanistan,AFG,89.5,0.22737000694477,0.00299451617981368,0.00462181980835445
2014,YR2014,Australia,AUS,100,0.752873824759254,2.91578772030696,0.484066275281438
2014,YR2014,Canada,CAN,100,0.0762774146791335,0.252537145628929,0.118317835064536
2014,YR2014,China,CHN,100,0.795129720884853,0.358822126128755,0.125698597465449
2014,YR2014,France,FRA,100,0,0.000119124398037033,4.71876516832952E-05
2014,YR2014,Germany,DEU,100,0.0188044851044902,0.000392191974926981,0.0189794489646318
2014,YR2014,India,IND,85.1339111328125,0.982606993768469,0.536394962114999,0.0844638547070627
2014,YR2014,United States,USA,100,0.226671482497904,0.0880467319514241,0.0523192680969993
2014,YR2014,United Arab Emirates,ARE,100,0,0,1.02785418598527
2014,YR2014,United Kingdom,GBR,100,0.0052536674065257,0,0.107032122022792
2015,YR2015,Afghanistan,AFG,71.5,0.163204860716174,0.00198882413948307,0.0021525915335507
2015,YR2015,Australia,AUS,100,0.467415278392218,1.85179092446636,0.604563395765041
2015,YR2015,Canada,CAN,100,0.0677434311762043,0.153735192881661,0
2015,YR2015,China,CHN,100,0.404630230720423,0.203345375101355,0.134795850990954
2015,YR2015,France,FRA,100,0,1.87555793173613E-05,6.2380326009974E-05
2015,YR2015,Germany,DEU,100,0.0146564038255549,0,0.0150061510096634
2015,YR2015,India,IND,88,0.767869514330021,0.285905510479196,0.0689196343932162
2015,YR2015,United States,USA,100,0.154809825395291,0.0362503184615436,0
2015,YR2015,United Arab Emirates,ARE,100,0,0,0.944063472144973
2015,YR2015,United Kingdom,GBR,100,0.00352343839736992,0,0.0887900272749926
2016,YR2016,Afghanistan,AFG,97.7,0.249916790607737,0.00281249304025955,0.00213017870477219
2016,YR2016,Australia,AUS,100,0.595294475037987,2.58843372469939,0.587554401448582
2016,YR2016,Canada,CAN,100,0.0762147109420282,0.160582352644183,0
2016,YR2016,China,CHN,100,0.413140466173888,0.185155152566946,0.104843531709252
2016,YR2016,France,FRA,100,0,2.04491850940137E-05,3.44487325405203E-05
2016,YR2016,Germany,DEU,100,0.0142241784029931,0,0.00893916182229922
2016,YR2016,India,IND,89.5863037109375,0.81269479010056,0.356697463670271,0.0607616430187198
2016,YR2016,United States,USA,100,0.135996650509346,0.0380022225151832,0
2016,YR2016,United Arab Emirates,ARE,100,0,0,0.724598673737908
2016,YR2016,United Kingdom,GBR,100,0.00246186507098933,5.89420378084237E-06,0.0591498968196775
2017,YR2017,Afghanistan,AFG,97.7,0.40234480168601,0,0.00193733204041791
2017,YR2017,Australia,AUS,100,0.778130785108022,3.18587488397102,0.710596127047236
2017,YR2017,Canada,CAN,100,0.0890428258212832,0.204739486731936,0
2017,YR2017,China,CHN,100,0.53771676055273,0.235890375798972,0.106612708521095
2017,YR2017,France,FRA,100,0,3.34505241784338E-05,3.58235354425169E-05
2017,YR2017,Germany,DEU,100,0.0179704886289538,0,0.0107367287094385
2017,YR2017,India,IND,91.7941589355469,0.944480460585748,0.457790108813118,0.0616444207974507
2017,YR2017,United States,USA,100,0.182332985664659,0.0412677424038313,0
2017,YR2017,United Arab Emirates,ARE,100,0,0,0.82907663794894
2017,YR2017,United Kingdom,GBR,100,0.00253441465483765,4.65349158266586E-05,0.0834976128885108
2018,YR2018,Afghanistan,AFG,93.4308776855469,0.541363923742697,0,0.00151202723141628
2018,YR2018,Australia,AUS,100,0.79660582885988,2.86105597221835,1.12681291351523
2018,YR2018,Canada,CAN,100,0.0853870422151225,0.125273089273862,0.0205383386190184
2018,YR2018,China,CHN,100,0.582602393231466,0.178921788137024,0.153295372359551
2018,YR2018,France,FRA,100,0,3.04938579184141E-05,2.92489749702571E-05
2018,YR2018,Germany,DEU,100,0.0181826118494321,0,0.0124974991112772
2018,YR2018,India,IND,95.7,1.16154280861105,0.432284884211342,0.0660238912587392
2018,YR2018,United States,USA,100,0.19836963909789,0.0352448401068123,0.00818925823914368
2018,YR2018,United Arab Emirates,ARE,100,0,0,1.08759822581719
2018,YR2018,United Kingdom,GBR,100,0.00252814305692617,3.82198028919306E-05,0.121001218593834
2019,YR2019,Afghanistan,AFG,97.7,0.334119584032567,0,0.00152718893968035
2019,YR2019,Australia,AUS,100,0.691993900604111,3.31748180992128,1.33869213675891
2019,YR2019,Canada,CAN,100,0.053736494242235,0.188938776268746,0
